names,artist_names,artist_genres,albums
Step Back!,1nonly,['aesthetic rap'],Step Back!
Disaster,KSLV Noh,['drift phonk'],Disaster
Slapper - Fast & Furious: Drift Tape/Phonk Vol 1,DVRST,"['chill phonk', 'drift phonk']",Slapper (Fast & Furious: Drift Tape/Phonk Vol 1)
ALORS BRAZIL,NONTHENSE,[],ALORS BRAZIL
REI DO BRASIL,Seek,[],REI DO BRASIL
RITMO DE TREINO,YOUTHISENDING,[],RITMO DE TREINO
TREINAMENTO DE FORÇA,TRXVELER,[],TREINAMENTO DE FORÇA
PRINCE OF DARKNESS,SHADXWBXRN,"['drift phonk', 'gym phonk']",PRINCE OF DARKNESS
TIRED OF PROBLEMS,NUEKI,['phonk brasileiro'],TIRED OF PROBLEMS
DEUS DA GUERRA,$pidxrs?808,['phonk brasileiro'],DEUS DA GUERRA
Montagem Game 196 e Nem Começou o Filme (feat. MC Morena de SP),DJ Blakes,"['funk mandelao', 'funk mtg']",Montagem Game 196 e Nem Começou o Filme
help urself,HXI,['gym phonk'],help urself
Heavenly Key,glichery,[],Heavenly Key
|BONKERS|,staplegun,['gym phonk'],|BONKERS|
INCOMING,MC ORSEN,"['drift phonk', 'gym phonk']",INCOMING
Twilight,GRAVECHILL,"['chill phonk', 'drift phonk']",Twilight
HOJE EU VOU COMER NOVINHA 02,DJ AG O GRINGO,['funk mtg'],HOJE EU VOU COMER NOVINHA
PSYCHO FUNK,ICHIRO,[],PSYCHO FUNK
Beat das Trevas [Slowed + Reverb],DJ MENOR DA ZN,['phonk brasileiro'],Beat das Trevas [Slowed + Reverb]
ANUBIS,KUTE,"['aggressive phonk', 'drift phonk', 'gym phonk']",ANUBIS
TOKYO DRIFT,PRXSXNT FXTURE,['drift phonk'],TOKYO DRIFT
Devil Eyes,ZODIVK,"['drift phonk', 'gym phonk']",Devil Eyes
Why Not,Ghostface Playa,['drift phonk'],Why Not
Salam 1996,Groove Dealers,"['memphis phonk', 'russian edm']",Salam 1996
Own Paradise,LXAES,[],Own Paradise
Mtg Ensurdecência Estelar 1.0,FR3ST,[],Mtg Ensurdecência Estelar 1.0
Scary Garry,Kaito Shoma,['drift phonk'],Scary Garry
Phonk Bachi Bachi,DJ TOPO,"['deboxe', 'funk mtg', 'rave funk']",Phonk Bachi Bachi
Mtg - Coração,Dj Samir,[],Mtg - Coração
Love,Keyshia Cole,"['hip pop', 'r&b', 'urban contemporary']",The Way It Is
If I Ain't Got You,Alicia Keys,"['neo soul', 'pop', 'r&b']",The Diary Of Alicia Keys
Crazy In Love (feat. Jay-Z),Beyoncé,"['pop', 'r&b']",Dangerously In Love
Miss Independent,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Year Of The Gentleman (Bonus Track Edition)
Pon de Replay,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Music Of The Sun
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Epiphany (Expanded Edition)
Cry Me a River,Justin Timberlake,"['dance pop', 'pop']",Justified
Fallin',Alicia Keys,"['neo soul', 'pop', 'r&b']",Songs In A Minor
Foolish,Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",Ashanti
"One, Two Step (feat. Missy Elliott)",Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",Goodies
If It's Lovin' That You Want,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Music Of The Sun
Let Me Love You,Mario,"['dance pop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",Let Me Love You
Long Way 2 Go,Cassie,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",Cassie (U.S. Version)
You,Lloyd,"['hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Street Love
Yo (Excuse Me Miss),Chris Brown,"['pop rap', 'r&b', 'rap']",Chris Brown (Expanded Edition)
U Remind Me,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",8701
When I See U,Fantasia,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",Fantasia
I'm Sprung,T-Pain,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Rappa Ternt Sanga (Expanded Edition)
Sexy Love,Ne-Yo,"['dance pop', 'pop', 'r&b', 'urban contemporary']",In My Own Words
We Belong Together,Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",The Emancipation of Mimi
Burn,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Confessions (Expanded Edition)
Didn't Cha Know,Erykah Badu,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",Mama's Gun
By Your Side,Sade,"['british soul', 'sophisti-pop']",Lovers Rock
How Do I Breathe,Mario,"['dance pop', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",Go
Rock Wit U (Awww Baby),Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",Chapter II
Goodies (feat. Petey Pablo),Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",Goodies
U Got It Bad,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",8701
Rock The Boat,Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",Aaliyah
Heaven Can Wait,Michael Jackson,"['r&b', 'soul']",Invincible
Differences,Ginuwine,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",The Life
Be Without You - Kendu Mix,Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",The Breakthrough
Baby Boy (feat. Sean Paul),Beyoncé,"['pop', 'r&b']",Dangerously In Love
Un-thinkable (I'm Ready),Alicia Keys,"['neo soul', 'pop', 'r&b']",The Element Of Freedom
Take You Down,Chris Brown,"['pop rap', 'r&b', 'rap']",Exclusive (Expanded Edition)
He Wasn't Man Enough,Toni Braxton,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']",The Heat
I Wanna Know,Joe,"['contemporary r&b', 'r&b', 'urban contemporary']",My Name Is Joe
Confessions Part II,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Confessions (Expanded Edition)
Can't Help but Wait,Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Trey Day
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,"['dance pop', 'pop']",The Neptunes Present... Clones
Blame It,Jamie Foxx,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Intuition
"Slow Down - 12"" Version",Bobby V.,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']",Disturbing Tha Peace Presents Bobby Valentino
Knock You Down,Keri Hilson,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",In A Perfect World...
Let It Go,Keyshia Cole,"['hip pop', 'r&b', 'urban contemporary']",Just Like You
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,[],Bad Boy 20th Anniversary Box Set Edition
Oh (feat. Ludacris),Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",Goodies
Bed,J. Holiday,"['contemporary r&b', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",Back Of My Lac'
Superstar,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Confessions (Expanded Edition)
You Don't Know My Name,Alicia Keys,"['neo soul', 'pop', 'r&b']",The Diary Of Alicia Keys
Grind With Me,Pretty Ricky,"['dirty south rap', 'hip pop', 'miami hip hop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Bluestars
Naughty Girl,Beyoncé,"['pop', 'r&b']",Dangerously In Love
Lost Without U,Robin Thicke,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",The Evolution of Robin Thicke
Get It Shawty,Lloyd,"['hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Street Love
Wish I Didn't Miss You,Angie Stone,"['contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']",Mahogany Soul
Dance Tonight,Lucy Pearl,"['contemporary r&b', 'neo soul', 'new jack swing']",Lucy Pearl
Do It To It,Cherish,"['atl hip hop', 'girl group', 'hip pop', 'r&b', 'southern hip hop', 'urban contemporary']",Unappreciated
Peaches & Cream,112,"['atl hip hop', 'boy band', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",Part III
How You Gonna Act Like That,Tyrese,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",I Wanna Go There
So Gone,Monica,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",After The Storm
I Luv Your Girl,The-Dream,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Love/Hate
All For You,Janet Jackson,"['dance pop', 'r&b', 'urban contemporary']",All For You
Happy,Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",Ashanti
Bust Your Windows,Jazmine Sullivan,"['hip pop', 'neo soul', 'r&b', 'urban contemporary']",Fearless
Promise,Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",The Evolution
Until The End Of Time (with Beyoncé),Justin Timberlake,"['dance pop', 'pop']",FutureSex/LoveSounds Deluxe Edition
More Than A Woman,Aaliyah,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",Aaliyah
Say Yes,Floetry,"['british soul', 'contemporary r&b', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",Floetic
"Me, Myself and I",Beyoncé,"['pop', 'r&b']",Dangerously In Love
Southside,Lloyd,"['hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Southside
Rockin' That Shit,The-Dream,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Love Vs Money
Motivation,Kelly Rowland,"['atl hip hop', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",Motivation
Say Aah (feat. Fabolous),Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Ready (Deluxe)
I Should Have Cheated,Keyshia Cole,"['hip pop', 'r&b', 'urban contemporary']",The Way It Is
Butterflies,Michael Jackson,"['r&b', 'soul']",Invincible
Pretty Wings - uncut,Maxwell,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",BLACKsummers'night (2009)
Soldier (feat. T.I. & Lil' Wayne),Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",Destiny Fulfilled
Like This (feat. Eve),Kelly Rowland,"['atl hip hop', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",Ms. Kelly
Halfcrazy,Musiq Soulchild,"['contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']",Juslisen
Dangerously In Love,Beyoncé,"['pop', 'r&b']",Dangerously In Love
Shawty Is Da Shit,The-Dream,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Love/Hate
Oops (Oh My) [feat. Missy Elliott],Tweet,"['contemporary r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",Southern Hummingbird
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),Alicia Keys,"['neo soul', 'pop', 'r&b']",The Diary Of Alicia Keys
It's A Wrap,Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",Memoirs of an imperfect Angel
Just Friends (Sunny),Musiq Soulchild,"['contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']",Aijuswanaseing
Girl,Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",Destiny Fulfilled
Baby,Ashanti,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",Ashanti
Just in Case,Jaheim,"['contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",Ghetto Love
Shake It Off,Mariah Carey,"['dance pop', 'pop', 'urban contemporary']",The Emancipation of Mimi
Ice Box,Omarion,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",21
Missing You,Case,"['contemporary r&b', 'r&b']",Open Letter
Untitled (How Does It Feel),D'Angelo,"['indie soul', 'neo soul', 'soul']",Voodoo
Why Don't We Fall in Love,Amerie,"['contemporary r&b', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",All I Have
Heaven Sent,Keyshia Cole,"['hip pop', 'r&b', 'urban contemporary']",Just Like You
Lovers Rock,Sade,"['british soul', 'sophisti-pop']",Lovers Rock
Spotlight,Jennifer Hudson,"['dance pop', 'r&b', 'urban contemporary']",Jennifer Hudson
Heard It All Before,Sunshine Anderson,"['contemporary r&b', 'hip pop', 'r&b']",Your Woman
Gasolina,Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",Barrio Fino (Bonus Track Version)
Temperature,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",The Trinity
Get Busy,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",Dutty Rock (20th Anniversary)
Welcome To Jamrock,Damian Marley,"['reggae', 'reggae fusion']",Welcome to Jamrock
Sweat (A La La La La Long),Inner Circle,"['reggae', 'reggae fusion']",Blazzin' Fire
Your Number,Ayo Jay,"['afrobeats', 'nigerian pop']",Your Number
I'm Still in Love with You (feat. Sasha),Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",Dutty Rock (20th Anniversary)
Murder She Wrote,Chaka Demus & Pliers,['funana'],Tease Me
Turn Me On,Kevin Lyttle,"['soca', 'vincy soca']",Kevin Lyttle (US Domestic Release)
Gyal You a Party Animal,Charly Black,"['dancehall', 'jamaican dancehall']",Gyal You a Party Animal
Talibans II,Burna Boy,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",Talibans II
Bam Bam,Sister Nancy,['dancehall queen'],One Two
Pass The Dutchie,Musical Youth,['uk reggae'],Anthology
Hold You - Hold Yuh,Gyptian,"['conscious hip hop', 'dancehall', 'reggae fusion']",Hold You
"You Don't Love Me (No, No, No) - Extended Mix",Dawn Penn,[],"No, No, No"
Like Glue,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",Dutty Rock (20th Anniversary)
Gyal You a Party Animal - Remix,Charly Black,"['dancehall', 'jamaican dancehall']",Gyal You a Party Animal (Remix)
No Letting Go,Wayne Wonder,"['dancehall', 'reggae fusion']",No Holding Back
Toast,Koffee,"['dancehall', 'dancehall queen', 'jamaican dancehall', 'modern reggae']",Rapture EP
TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,"['dancehall', 'jamaican hip hop', 'reggae fusion', 'traphall']",FIXTAPE
Whine & Kotch,J Capri,"['dancehall', 'dancehall queen']",Whine & Kotch
Fever,Vybz Kartel,"['dancehall', 'jamaican dancehall', 'reggae fusion']",King Of The Dancehall
Gimme the Light,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",Dutty Rock (20th Anniversary)
Gal Policy,Kranium,"['basshall', 'dancehall']",Gal Policy
Shen Yeng Anthem,Shenseea,"['dancehall', 'dancehall queen']",Shen Yeng Anthem
Nuttin Nuh Go So,Notch,[],Buy out Riddim
Bruk Off Yuh Back,Konshens,"['dancehall', 'traphall']",Bruk Off Yuh Back
Crocodile Teeth,Skillibeng,"['dancehall', 'jamaican dancehall', 'traphall', 'trinibad']",Crocodile Teeth
Nobody Has to Know,Kranium,"['basshall', 'dancehall']",Rumors
Cant Satisfy Her,I Wayne,"['dancehall', 'lovers rock', 'roots reggae']",Lava Ground
She's Royal,Tarrus Riley,"['dancehall', 'lovers rock']",Parables
So Mi Like It,Spice,"['dancehall', 'dancehall queen', 'jamaican dancehall']",10
Foreplay,Shenseea,"['dancehall', 'dancehall queen']",Foreplay
Pull up to Mi Bumper,Konshens,"['dancehall', 'traphall']",Pull up to Mi Bumper
My Type,Popcaan,"['dancehall', 'jamaican hip hop', 'reggae fusion', 'traphall']",My Type - Single
Clarks,Vybz Kartel,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Stronger We Get
Good Comfort,DJ Frass,"['afroswing', 'dancehall', 'riddim']",Good Comfort
Who Am I,Beenie Man,"['dancehall', 'jamaican dancehall', 'reggae fusion', 'soca']",Many Moods Of Moses
Dunce Cheque,Valiant,['dancehall'],Dunce Cheque
Summer Tiime,Vybz Kartel,"['dancehall', 'jamaican dancehall', 'reggae fusion']",The Gaza Don
Girls Dem Sugar,Beenie Man,"['dancehall', 'jamaican dancehall', 'reggae fusion', 'soca']",Art And Life
Heads High,Mr. Vegas,"['azonto', 'dancehall', 'reggae fusion', 'soca']",Mr Vegas: The Hits
No Games,Serani,"['dancehall', 'reggae fusion']",No Games
Dude,Beenie Man,"['dancehall', 'jamaican dancehall', 'reggae fusion', 'soca']",Back To Basics
Love Yuh Everything,Alkaline,"['dancehall', 'jamaican hip hop', 'traphall']",Love Yuh Everything
I Love My Life,Demarco,"['bongo flava', 'dancehall', 'jamaican dancehall', 'reggae fusion']",I Love My Life - Single
Aboboyaa (feat. Burna Boy),Popcaan,"['dancehall', 'jamaican hip hop', 'reggae fusion', 'traphall']",Great Is He
Cheaters Prayer,Christopher Martin,"['dancehall', 'reggae fusion']",Big Deal
Call Me If,Dexta Daps,"['dancehall', 'riddim']",VENT
Brik Pan Brik,Skillibeng,"['dancehall', 'jamaican dancehall', 'traphall', 'trinibad']",Brik Pan Brik
Tempted To Touch,Rupee,"['barbadian pop', 'chutney', 'soca']",Asafa Powell: Train For Speed
Romping Shop (feat. Spice),Vybz Kartel,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Pon Di Gaza 2.0
Romie,Beenie Man,"['dancehall', 'jamaican dancehall', 'reggae fusion', 'soca']",Maestro
Bam Bam,Chaka Demus & Pliers,['funana'],Tease Me
Give It All To Me,Mavado,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Give It All To Me
Breaking News,Dexta Daps,"['dancehall', 'riddim']",VENT
Speed Off,Valiant,['dancehall'],Speed Off
Walking Trophy,Tina (Hoodcelebrityy),"['dancehall', 'dancehall queen', 'trap queen']",Walking Trophy
King Of The Dancehall,Beenie Man,"['dancehall', 'jamaican dancehall', 'reggae fusion', 'soca']",Back To Basics
Come Around,Collie Buddz,"['dancehall', 'reggae fusion']",Collie Buddz
Pon Di Cocky,Aidonia,"['dancehall', 'reggae fusion', 'traphall']",Pon Di Cocky
Too Many Man,Skepta,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']",Microphone Champion
Dutty Whine,Tony Matterhorn,"['dancehall', 'jamaican dancehall']",Dutty Whine
GYALIS (Remix) [feat. Chris Brown & Popcaan],Capella Grey,['pop rap'],GYALIS (Remix) [feat. Chris Brown & Popcaan]
Stay So,Busy Signal,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Parts Of The Puzzle
blessing me (with Pa Salieu & Skillibeng),Mura Masa,"['channel islands indie', 'hyperpop', 'indie soul', 'vapor soul']",demon time
Pon De River Pon De Bank,Elephant Man,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Good 2 Go
Gal A Bubble,Konshens,"['dancehall', 'traphall']",Strictly The Best Vol. 51
Bicycle,Vybz Kartel,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Dancehall Hero Raw: Deluxe
Live Some Life (feat. DING DONG),AMARIA BB,"['dancehall queen', 'jamaican dancehall']",Live Some Life (feat. DING DONG)
Owner,Dexta Daps,"['dancehall', 'riddim']",Intro
That's You,Lucky Daye,"['alternative r&b', 'r&b']",That's You
Sensational (feat. Davido & Lojay),Chris Brown,"['pop rap', 'r&b', 'rap']",11:11
Good Good,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",Good Good
Feelings (feat. J Hus),Jorja Smith,"['r&b', 'uk contemporary r&b']",falling or flying
How We Roll,Ciara,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",CiCi
Needs,Tinashe,"['alternative r&b', 'dance pop', 'metropopolis', 'pop', 'r&b', 'urban contemporary']",BB/ANG3L
Best Time,Brent Faiyaz,"['r&b', 'rap']",Larger Than Life
Press Me,Chris Brown,"['pop rap', 'r&b', 'rap']",11:11
OUTTA CONTROL,DESTIN CONRAD,"['alternative r&b', 'indie r&b']",OUTTA CONTROL
From A Woman,Mariah the Scientist,['alternative r&b'],From A Woman
Bahamas Promises,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs
Girls Need Love (Girls Mix) (feat. Victoria Monét),Summer Walker,"['r&b', 'rap']",Girls Need Love (Girls Mix)
Treasure In The Hills,Leon Thomas,['indie r&b'],Electric Dusk
Moonlight,Arin Ray,['alternative r&b'],Phases III - EP
One Of Them Days (feat. Monica),Queen Naija,"['pop r&b', 'r&b']",After the Butterflies
Go Baby,Cleo Sol,"['alternative r&b', 'uk contemporary r&b', 'uk funky']",Heaven
Waterfall (I Adore You),Yebba,['pop soul'],Waterfall (I Adore You)
Be My Summer,Snoh Aalegra,"['alternative r&b', 'scandinavian r&b', 'swedish soul']",Be My Summer
R e s e n t m e n t,PARTYNEXTDOOR,"['r&b', 'rap', 'urban contemporary']",R e s e n t m e n t
Moment Of Your Life (feat. Coco Jones),Brent Faiyaz,"['r&b', 'rap']",Larger Than Life
2000s R&B,Kenyon Dixon,"['indie r&b', 'pop r&b']",The R&B You Love
Need Somebody (feat. Jazmine Sullivan),Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",The Love Album: Off The Grid
Waiting For You (feat. Naomi Sharon),Majid Jordan,['canadian contemporary r&b'],Waiting For You (feat. Naomi Sharon)
Through The Night (feat. Free Nationals),Maeta,"['alternative r&b', 'indie r&b']",When I Hear Your Name
Miss Romantic,Cleo Sol,"['alternative r&b', 'uk contemporary r&b', 'uk funky']",Heaven
Only Have Eyes 42,Janelle Monáe,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']",The Age of Pleasure
Alright,Victoria Monét,['alternative r&b'],JAGUAR II
"It’s Not Me, It’s You (feat. Destin Conrad)",Mahalia,"['alternative r&b', 'indie anthem-folk', 'uk contemporary r&b']",IRL
Crash & Burn,Leon Thomas,['indie r&b'],Electric Dusk
That's On You (feat. Future),Chris Brown,"['pop rap', 'r&b', 'rap']",11:11
WY@,Brent Faiyaz,"['r&b', 'rap']",Larger Than Life
When It Comes To You,Fridayy,[],When It Comes To You
Greatest Gift (feat. Lila Iké),Jorja Smith,"['r&b', 'uk contemporary r&b']",falling or flying
How Does It Make You Feel,Victoria Monét,['alternative r&b'],JAGUAR II
Love Language,SZA,"['pop', 'r&b', 'rap']",SOS
Stay Long (feat. Summer Walker),Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",The Love Album: Off The Grid
WHITE CROCS (with Ryan Trey),Jordan Ward,"['indie hip hop', 'indie r&b']",FORWARD
Big Steppa,Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",Fountain Baby
Rhythm & Blues,Ayra Starr,['afrobeats'],Rhythm & Blues
ICU (with Justin Timberlake) - Remix,Coco Jones,['pop r&b'],ICU (with Justin Timberlake) [Remix]
Desire,Cleo Sol,"['alternative r&b', 'uk contemporary r&b', 'uk funky']",Gold
JEANS (with Miguel),Jessie Reyez,"['canadian contemporary r&b', 'canadian pop']",JEANS
These Four Walls,Khamari,['indie r&b'],A Brief Nirvana
Luv Songs (Unruly),PHABO,"['indie r&b', 'trap soul']",Don't Get Too Cozy
Upset (feat. Tommy Richman & FELIX!),Brent Faiyaz,"['r&b', 'rap']",Larger Than Life
So High,Doja Cat,"['dance pop', 'pop']",Purrr!
Do I Wanna Know?,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",AM
White Tee (with NO1-NOAH),Summer Walker,"['r&b', 'rap']",Life On Earth - EP
Worship,Ari Abdul,"['dark r&b', 'sped up']",Worship
Daddy Issues,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",Wiped Out!
Call Out My Name,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']","My Dear Melancholy,"
coffee,Miguel,"['r&b', 'urban contemporary']",Wildheart (Deluxe Version)
Softcore,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",Hard To Imagine The Neighbourhood Ever Changing
WY@,Brent Faiyaz,"['r&b', 'rap']",WY@
ROLL THE DICE (Prod. Gesaffelstein),KayCyy,['rage rap'],ROLL THE DICE (Prod. Gesaffelstein)
Formula,Labrinth,"['indie poptimism', 'pop']",Euphoria (Original Score from the HBO Series)
Redbone,Childish Gambino,"['atl hip hop', 'hip hop', 'rap']","""Awaken, My Love!"""
close with desires (right person wrong timing),teo glacier,['bedroom r&b'],close with desires (right person wrong timing)
killing time,Kate Peytavin,[],killing time
You Get Me So High,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",Hard To Imagine The Neighbourhood Ever Changing
Out of Luck,Tkay Maidza,"['alternative r&b', 'australian hip hop', 'escape room']",Out of Luck
AFTER HOURS,Avenoir,[],AFTER HOURS
Damaged,Amaria,"['alternative r&b', 'chill r&b']",All For You
Lost in the Fire (feat. The Weeknd),Gesaffelstein,['dark clubbing'],Hyperion
Best Part (feat. H.E.R.),Daniel Caesar,['canadian contemporary r&b'],Freudian
Swim,Chase Atlantic,['alternative r&b'],Chase Atlantic
SLOW DANCING IN THE DARK,Joji,['viral pop'],BALLADS 1
Needed Me,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",ANTI (Deluxe)
Novacane,Frank Ocean,"['lgbtq+ hip hop', 'neo soul']",Novacane
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,"['pop', 'uk pop']",reputation Stadium Tour Surprise Song Playlist
double take,dhruv,['nyc pop'],rapunzel
Melting,Kali Uchis,['colombian pop'],Por Vida
in motion,Alé Araya,[],in motion
Get You (feat. Kali Uchis),Daniel Caesar,['canadian contemporary r&b'],Freudian
Teenage Fever,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",More Life
Thinkin Bout You,Frank Ocean,"['lgbtq+ hip hop', 'neo soul']",channel ORANGE
Streets,Doja Cat,"['dance pop', 'pop']",Hot Pink
Girl With The Tattoo Enter.lewd,Miguel,"['r&b', 'urban contemporary']",All I Want Is You
Until I Found You,Stephen Sanchez,['gen z singer-songwriter'],Until I Found You
bad,wave to earth,['korean city pop'],0.1 flaws and all.
ALL MINE,Brent Faiyaz,"['r&b', 'rap']",WASTELAND
Always,Daniel Caesar,['canadian contemporary r&b'],NEVER ENOUGH
Into It,Chase Atlantic,['alternative r&b'],Chase Atlantic
Girls Need Love (with Drake) - Remix,Summer Walker,"['r&b', 'rap']",Last Day Of Summer
Hex,80purppp,"['bedroom r&b', 'sad lo-fi']",Hex
Exchange,Bryson Tiller,"['kentucky hip hop', 'r&b', 'rap']",T R A P S O U L
The Perfect Girl,Mareux,['dark synthpop'],The Perfect Girl
Sativa,Jhené Aiko,['r&b'],Trip
